model-1578457092,1578457110.963,0.7,0.2017,0.64,0.2289
model-1578457092,1578457111.055,0.65,0.2123,0.66,0.2236
model-1578457092,1578457111.148,0.61,0.2253,0.66,0.2236
model-1578457092,1578457111.238,0.68,0.2171,0.64,0.2258
model-1578457092,1578457111.331,0.63,0.2157,0.58,0.2366
model-1578457092,1578457111.424,0.65,0.2359,0.58,0.2364
model-1578457092,1578457111.515,0.67,0.221,0.62,0.2254
model-1578457092,1578457111.606,0.75,0.1866,0.63,0.2333
model-1578457092,1578457111.722,0.58,0.2489,0.64,0.2347
model-1578457092,1578457111.822,0.66,0.2087,0.63,0.2288
model-1578457092,1578457111.917,0.61,0.233,0.6,0.2254
model-1578457092,1578457112.009,0.69,0.201,0.65,0.2273
model-1578457092,1578457112.101,0.61,0.2253,0.62,0.2248
model-1578457092,1578457112.193,0.68,0.1995,0.64,0.2228
model-1578457092,1578457112.292,0.65,0.2219,0.64,0.2227
model-1578457092,1578457112.389,0.7,0.1952,0.63,0.2214
model-1578457092,1578457112.484,0.6,0.2356,0.63,0.2209
model-1578457092,1578457112.575,0.68,0.2108,0.66,0.2186
model-1578457092,1578457112.667,0.67,0.2035,0.67,0.2193
model-1578457092,1578457112.758,0.69,0.2076,0.67,0.2187
model-1578457092,1578457112.851,0.65,0.2059,0.67,0.2165
model-1578457092,1578457112.944,0.68,0.2074,0.66,0.2176
model-1578457092,1578457113.048,0.64,0.2198,0.63,0.2261
model-1578457092,1578457113.139,0.66,0.2215,0.61,0.2327
model-1578457092,1578457113.23,0.66,0.2197,0.6,0.2324
model-1578457092,1578457113.323,0.63,0.2179,0.64,0.2305
model-1578457092,1578457113.427,0.65,0.2252,0.61,0.2286
model-1578457092,1578457113.518,0.59,0.2403,0.61,0.2273
model-1578457092,1578457113.611,0.64,0.2204,0.64,0.227
model-1578457092,1578457113.709,0.67,0.2232,0.64,0.2238
model-1578457092,1578457113.802,0.65,0.2211,0.62,0.2216
model-1578457092,1578457113.895,0.66,0.2126,0.65,0.2208
model-1578457092,1578457113.987,0.73,0.2032,0.68,0.2166
model-1578457092,1578457114.054,0.69,0.2261,0.68,0.2138
model-1578457092,1578457114.157,0.64,0.218,0.66,0.2122
model-1578457092,1578457114.248,0.65,0.215,0.65,0.2114
model-1578457092,1578457114.341,0.68,0.2051,0.68,0.2118
model-1578457092,1578457114.433,0.75,0.1849,0.68,0.2121
model-1578457092,1578457114.524,0.58,0.2362,0.64,0.2135
model-1578457092,1578457114.614,0.68,0.2013,0.66,0.2151
model-1578457092,1578457114.706,0.63,0.2229,0.68,0.2155
model-1578457092,1578457114.798,0.72,0.1937,0.65,0.2168
model-1578457092,1578457114.891,0.65,0.188,0.66,0.2182
model-1578457092,1578457114.983,0.69,0.1989,0.64,0.2242
model-1578457092,1578457115.074,0.69,0.1973,0.64,0.2256
model-1578457092,1578457115.166,0.56,0.257,0.61,0.221
model-1578457092,1578457115.261,0.75,0.1748,0.59,0.2263
model-1578457092,1578457115.355,0.68,0.2015,0.6,0.2343
model-1578457092,1578457115.447,0.65,0.22,0.6,0.2311
model-1578457092,1578457115.538,0.67,0.2022,0.61,0.2253
model-1578457092,1578457115.641,0.69,0.2044,0.61,0.2278
model-1578457092,1578457115.732,0.67,0.1973,0.61,0.2332
model-1578457092,1578457115.824,0.63,0.2178,0.61,0.2163
model-1578457092,1578457115.92,0.73,0.2041,0.65,0.2193
model-1578457092,1578457116.011,0.7,0.1838,0.64,0.2348
model-1578457092,1578457116.102,0.62,0.2319,0.6,0.2326
model-1578457092,1578457116.195,0.72,0.1947,0.62,0.2221
model-1578457092,1578457116.3,0.7,0.2073,0.66,0.2131
model-1578457092,1578457116.395,0.65,0.2072,0.7,0.209
model-1578457092,1578457116.486,0.7,0.1997,0.71,0.2104
model-1578457092,1578457116.577,0.65,0.2175,0.69,0.2116
model-1578457092,1578457116.668,0.72,0.195,0.69,0.2103
model-1578457092,1578457116.764,0.68,0.2012,0.69,0.2085
model-1578457092,1578457116.858,0.76,0.1876,0.68,0.2049
model-1578457092,1578457116.958,0.72,0.1853,0.65,0.2192
model-1578457092,1578457117.049,0.65,0.2142,0.63,0.2329
